Star,Ra,Dec,Mag
11072.0,0.6219496095,-0.41567312,5.3187
11090.0,0.6232543156,0.7225058301,5.8827
11102.0,0.6235664586,-0.8917286678,5.9685
11220.0,0.6301288686,0.8727803938,5.3524
11249.0,0.6318851567,0.1851898716,5.4559
11258.0,0.6322451268,-1.052636504,5.4522
11313.0,0.6354017315,0.8775282617,4.851
11345.0,0.636827908,-0.2145088552,4.8772
11348.0,0.6370725287,-0.2677529609,5.9217
11407.0,0.6413434159,-0.8325888425,4.2002
11432.0,0.6434293054,0.5550382415,5.713
11477.0,0.6458947269,-0.5901141943,5.1641
11484.0,0.6464639924,0.1476564024,4.2725
11486.0,0.6464983391,0.5178311304,5.3697
11569.0,0.6504251761,1.1763935256,4.5135
11670.0,0.6568484206,0.440437572,5.9694
11738.0,0.66104944,0.0395702167,5.4248
11757.0,0.6617794504,-1.3807168701,5.4354
11767.0,0.6622851337,1.5579531082,2.1077
11783.0,0.6636088945,-0.2660635556,4.8432
11784.0,0.6636713293,0.6308882042,5.2802
11791.0,0.6639113515,-0.0180609721,5.5288
11918.0,0.6712763502,-0.4927472916,4.9548
12002.0,0.6750489763,-0.1371704628,5.8935
12072.0,0.6791325009,0.6512223223,5.869
12086.0,0.6797184056,0.6054142993,5.5064
12093.0,0.6801321877,0.097621526,5.0189
12107.0,0.680683364,-0.1366846392,5.6141
12114.0,0.6809571149,0.1201373727,5.9524
12122.0,0.6813530091,-0.5243835388,5.9055
12148.0,0.6832312172,0.1349153073,5.9767
12153.0,0.6834235733,0.217255902,5.7528
12186.0,0.6849414359,-0.603488524,5.9086
12225.0,0.6868063229,-0.917049891,5.3735
12239.0,0.6876602194,1.1474729596,5.9255
12247.0,0.6880798823,-0.0592725674,5.8154
12273.0,0.6895569131,1.2709175974,5.3275
12288.0,0.6907573691,-0.5269826719,5.9386
12332.0,0.6929683585,0.3832995174,5.5071
12387.0,0.695873557,0.0057336988,4.0081
12390.0,0.6962214515,-0.2071981974,4.9262
12394.0,0.6963299159,-1.1914830047,4.0933
12413.0,0.6972531912,-0.7486002179,4.7613
12444.0,0.6990409927,-0.1649804538,5.904
12484.0,0.7010100259,-0.9520757836,5.3052
12486.0,0.7010356176,-0.6956063706,4.2751
12489.0,0.7011157169,0.4723037038,5.3318
12530.0,0.7035037436,-0.0121361122,5.8383
12623.0,0.7079440019,0.701524396,5.024
12640.0,0.7084526045,0.3492679114,5.7472
12653.0,0.7092696982,-0.8866416903,5.518
12692.0,0.7114254947,0.9617823814,5.7279
12706.0,0.7125397178,0.0564818484,3.5001
12719.0,0.7131932007,0.4835813527,4.6112
12768.0,0.7159600981,0.7731294586,5.59
12770.0,0.7161198247,-0.2418795264,4.2067
12777.0,0.7164349764,0.8592023127,4.2097
12803.0,0.7179827266,0.267243063,5.7767
12821.0,0.7191971122,1.1837644893,5.9966
12828.0,0.7196845878,0.1765264478,4.3439
12832.0,0.7197670551,0.2172230984,5.242
12843.0,0.7203832993,-0.3241538951,4.5718
12871.0,0.7219447256,-1.1118538234,5.9002
12876.0,0.7223141551,-1.1801344628,4.8551
13055.0,0.7321390797,1.4215473896,5.9888
13061.0,0.7326340595,0.5104638392,4.6868
13108.0,0.7353699769,0.3191137313,5.9902
13121.0,0.7363739979,0.4396148134,5.892
13141.0,0.7375010199,-1.0961818266,5.2973
13147.0,0.7377913574,-0.5655963496,4.6193
13165.0,0.7386784373,0.3048103131,5.2433
13202.0,0.7413395872,-0.4876805228,5.4
13209.0,0.7416914391,0.4757905498,3.5831
13244.0,0.7438401768,-1.3101642335,4.9107
13254.0,0.7443039667,0.6687911179,4.3081
13265.0,0.744703188,-0.622658719,5.6391
13268.0,0.7448041834,0.9755610262,3.896
13288.0,0.7462988561,-0.3665885926,4.9284
13327.0,0.7482784923,0.2632327741,5.4946
13328.0,0.7483703376,0.6119105861,4.6674
13490.0,0.7579512643,0.6691187219,5.4318
13531.0,0.7603426742,0.9208791633,4.0759
13654.0,0.7671087695,0.3199481056,5.4449
13665.0,0.7677080241,1.0737451068,5.6858
13701.0,0.7698068323,-0.1552925886,4.0583
13702.0,0.769834363,0.3145720505,5.6882
13717.0,0.7706679595,-0.0647903652,5.2017
13775.0,0.7735648633,0.5573585808,5.1062
13782.0,0.7740317975,-0.4164718059,5.5093
13834.0,0.7770406048,0.3607387951,5.8888
13835.0,0.7770851521,-0.4120048385,5.9692
13847.0,0.7778143958,-0.7034503238,2.9378
13874.0,0.7797326495,-0.0485676904,5.2375
13879.0,0.7799913092,0.6922469268,4.7156
13884.0,0.7801451628,-1.1182550943,5.021
13905.0,0.7813046201,0.6140611876,5.1039
13914.0,0.78196088,0.3724610305,4.6513
13942.0,0.7836575953,-0.4411204259,5.7905
13951.0,0.7840282587,-0.0430206378,5.5407
13954.0,0.7841543489,0.1554634808,4.6767
13965.0,0.7846551389,0.8241556212,5.6282
14043.0,0.7891930992,0.9137112337,5.2569
14060.0,0.7904862798,-0.1337417251,5.9196
14109.0,0.7936994072,0.4618549911,5.959
14131.0,0.7952445391,-1.2549352884,5.4682
14135.0,0.7953450247,0.0713826671,2.6196
14143.0,0.795761645,0.0759719214,5.5921
14146.0,0.7958405515,-0.4123224482,4.1328
14168.0,0.7971980099,-0.1341366447,5.4804
14187.0,0.7981857275,-0.8198691565,5.9706
14240.0,0.8011718486,-1.0426181562,5.2076
14293.0,0.8040497198,-0.1326607233,5.3168
14328.0,0.8063268603,0.9338637261,3.0586
14354.0,0.8079781482,0.6778951858,3.2889
14376.0,0.8091555316,0.440786371,5.4449
14382.0,0.8095728461,0.9896985174,4.9311
14417.0,0.8121563793,1.3861144888,5.5816
14439.0,0.8133007161,0.2301635986,5.8111
14456.0,0.814013427,-0.1062651083,5.2905
14502.0,0.8173243675,1.118016062,5.8888
14521.0,0.8182612805,-1.3786255086,5.7475
14576.0,0.8210414333,0.7148109521,2.0969
14632.0,0.8248777536,0.8659189314,4.1758
14668.0,0.8268227679,0.7829178619,3.9564
14677.0,0.8273389783,0.5074913467,5.7816
14764.0,0.8318512155,0.2072175706,5.9569
14817.0,0.8346601901,0.6913523288,4.7813
14838.0,0.8361341309,0.3442958275,4.5117
14844.0,0.8365110296,1.4219321677,5.9698
14862.0,0.8374845034,1.2984179511,4.864
14879.0,0.8380692937,-0.5059553529,3.9821
14893.0,0.8387934988,0.4757246229,5.7499
14915.0,0.8396757152,0.116254391,5.6781
14930.0,0.8401680441,-1.0004503349,5.7328
14954.0,0.8411267932,-0.0208729619,5.1852
15110.0,0.8504200195,0.3672980589,4.8803
15154.0,0.8523350015,0.5333145853,5.62
15192.0,0.8543366816,0.9972920469,5.9277
15197.0,0.8544860597,-0.1539352543,4.8647
15201.0,0.855019197,-1.3506859583,5.612
15219.0,0.856098884,0.8890307718,5.2076
15305.0,0.8615092127,-0.8334250433,5.9976
15330.0,0.8628085483,-1.0921729248,5.6405
15334.0,0.8629007694,0.6856249157,5.997
15338.0,0.8630167163,0.7683826289,5.4716
15371.0,0.864747888,-1.090969282,5.3533
15382.0,0.865544903,-0.3928936651,5.0241
15383.0,0.8655581352,-0.0162340285,5.5554
15404.0,0.8666811163,0.8765433664,5.143
15411.0,0.86692485,-0.3239268261,5.8156
15416.0,0.8671249433,0.5972983332,4.9927
15444.0,0.8688553359,0.8743231719,5.0299
15457.0,0.86986766,0.0588170859,4.9768
15474.0,0.8705534791,-0.3797477351,3.7303
15479.0,0.8708395327,-0.4210230983,5.7006
15510.0,0.8721719177,-0.7517403453,4.395
15520.0,0.8726105756,1.1458492697,4.6984
15547.0,0.8740885456,1.3567299772,5.5101
15549.0,0.8741457019,0.5069919343,4.5975
15619.0,0.8775203234,0.0641527481,5.85
15627.0,0.8780177684,0.3690872289,5.2753
15643.0,0.8787751368,-0.4125101306,5.6537
15648.0,0.8789628686,0.7562450856,4.9814
15696.0,0.8822559728,0.4818431079,5.7153
15737.0,0.8846835626,0.3620180297,5.2483
15770.0,0.8867128174,0.8589346474,5.301
15861.0,0.8914607133,0.4315184817,5.6727
15863.0,0.8915249885,0.8702428603,1.8972
15876.0,0.892276249,0.5853139264,5.7849
15890.0,0.8930676221,1.1272382767,5.1901
15900.0,0.8936694857,0.1575869018,3.77
16083.0,0.9039438917,0.1698689221,3.7082
16112.0,0.9056343097,-0.6227568485,5.8699
16142.0,0.9076401527,-0.1969863588,5.9077
16147.0,0.907793025,0.856309696,4.962
16168.0,0.9090751057,0.5900556301,5.7403
16210.0,0.9113750784,0.8700195085,5.5651
16228.0,0.9122352084,1.0461561949,4.3087
16244.0,0.913536619,0.8640953963,4.6446
16245.0,0.9135479731,-1.098482904,4.8043
16263.0,0.914554168,-0.2212160969,5.6327
16281.0,0.9159157862,1.027628091,4.671
16285.0,0.9159484155,-0.7441080842,5.822
16290.0,0.9162197339,-1.3674966235,5.8435
16292.0,0.9163146138,0.9678171294,5.114
16322.0,0.9180777948,0.197858919,5.132
16335.0,0.9188054842,0.837673776,4.4945
16340.0,0.9189836445,0.839567159,5.8208
16341.0,0.9189922018,-0.0885783078,4.71
16368.0,0.9200563168,-1.1604645017,5.7993
16369.0,0.9201060924,0.225787686,4.3077
16470.0,0.9256485346,0.8381687839,5.4409
16489.0,0.9264582417,1.4819828628,5.7765
16499.0,0.9269373909,0.8038470452,5.3971
16509.0,0.9275491611,-0.8792767795,5.835
16511.0,0.9276373909,0.1635994422,5.7437
16518.0,0.9279349669,0.6189237805,5.8846
16537.0,0.9291276019,-0.165078582,3.8652
16591.0,0.9319347176,0.69637922,5.8387
16611.0,0.9328237929,-0.377563861,4.2359
16664.0,0.9356872783,0.4269856477,5.9961
16780.0,0.942307051,-0.1953717715,5.7329
16803.0,0.9437426011,-0.3048573717,5.208
16826.0,0.9446129221,0.8411213002,4.2925
16846.0,0.9459181835,0.0102652404,5.9609
16852.0,0.9462970795,0.0070307666,4.4104
16870.0,0.9472540408,-0.7029228145,4.7322
17103.0,0.9592870382,0.0533519759,5.714
17167.0,0.9627187527,-0.0909438281,5.4825
17203.0,0.9648646438,0.6558993429,5.5312
17296.0,0.9693374717,1.1033405849,5.0956
17304.0,0.9697412335,-0.5574301641,4.9335
17309.0,0.9700354453,0.3438348574,5.6842
17313.0,0.9703044273,0.5928017642,4.9631
17342.0,0.9717654573,1.0466632116,5.8393
17351.0,0.9723027109,-0.6512407222,4.7559
17358.0,0.9726925032,0.8340518896,2.9703
17378.0,0.9741086905,-0.1704348693,3.6796
17395.0,0.9754818522,-0.1830084549,5.6598
17440.0,0.9782246829,-1.1310971725,4.0019
17448.0,0.9787752922,0.5635366801,3.8583
17457.0,0.9796029843,-0.020299548,5.2154
17460.0,0.9796676254,0.6363506023,5.6291
17489.0,0.9808897397,0.4239330928,5.4507
17499.0,0.9812040024,0.4208590686,3.6857
